cardioVascularSystem.systemicCirculation.peripheral.kidney.Efferent_BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.kidney.vasaRecta.condConstant.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.otherTissue.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.respiratoryMuscle.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.skeletalMuscle.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.skin.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.rightCororaryCirculation.BasicLargeVeselsConductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.rightCororaryCirculation.BasicSmallVeselsConductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.splanchnicCirculation.GITract.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.splanchnicCirculation.liver.HepaticArtyConductance.Conductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.splanchnicCirculation.liver.splachnicVeinsConductance.Conductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.veins.BaseConductance;ml/(mmHg.min)
cardioVascularSystem.heart.LeftAtrium.volume_start;ml
cardioVascularSystem.heart.leftVentricle.initialESV;ml
cardioVascularSystem.heart.leftVentricle.initialVol;ml
cardioVascularSystem.heart.RightAtrium.volume_start;ml
cardioVascularSystem.heart.rightVentricle.initialESV;ml
cardioVascularSystem.heart.rightVentricle.initialVol;ml
cardioVascularSystem.pulmonaryCirculation.ArtysV0.k;ml
cardioVascularSystem.pulmonaryCirculation.CapysV0.k;ml
cardioVascularSystem.pulmonaryCirculation.pulmArty.volume_start;ml
cardioVascularSystem.pulmonaryCirculation.pulmCapys.volume_start;ml
cardioVascularSystem.pulmonaryCirculation.pulmVeins.volume_start;ml
cardioVascularSystem.pulmonaryCirculation.VeinsV0.k;ml
cardioVascularSystem.redCells.elasticVessel.volume_start;ml
cardioVascularSystem.redCells.gain.k;ml
cardioVascularSystem.systemicCirculation.legsVeins.Conductance;ml
cardioVascularSystem.systemicCirculation.sequesteredBlood.initialVol;ml
cardioVascularSystem.systemicCirculation.sequesteredBlood.pressureControledCompartment.ZeroPressureVolume;ml
cardioVascularSystem.systemicCirculation.sequesteredBlood1.initialVol;ml
cardioVascularSystem.systemicCirculation.sequesteredBlood1.pressureControledCompartment.ZeroPressureVolume;ml
cardioVascularSystem.systemicCirculation.splanchnicCirculation.portalVein.volume_start;ml
cardioVascularSystem.systemicCirculation.splanchnicCirculation.V0.k;ml
cardioVascularSystem.systemicCirculation.systemicArtys.volume_start;ml
