leftHeart_pH_intracellular;LeftHeart-Ph.Ph
liver_pH_intracellular;Liver-Ph.Ph
otherTissue_pH_intracellular;OtherTissue-Ph.Ph
respiratoryMuscle_pH_intracellular;RespiratoryMuscle-Ph.Ph
rightHeart_pH_intracellular;RightHeart-Ph.Ph
skeletalMuscle_pH_intracellular;SkeletalMuscle-Ph.Ph
skin_pH_intracellular;Skin-Ph.Ph
GITract_Fuel_FractUseDelay;GITract-Fuel.FractUseDelay
bone_Fuel_FractUseDelay;Bone-Fuel.FractUseDelay
brain_Fuel_FractUseDelay;Brain-Fuel.FractUseDelay
fat_Fuel_FractUseDelay;Fat-Fuel.FractUseDelay
kidney_Fuel_FractUseDelay;Kidney-Fuel.FractUseDelay
leftHeart_Fuel_FractUseDelay;LeftHeart-Fuel.FractUseDelay
liver_Fuel_FractUseDelay;Liver-Fuel.FractUseDelay
otherTissue_Fuel_FractUseDelay;OtherTissue-Fuel.FractUseDelay
respiratoryMuscle_Fuel_FractUseDelay;RespiratoryMuscle-Fuel.FractUseDelay
rightHeart_Fuel_FractUseDelay;RightHeart-Fuel.FractUseDelay
skeletalMuscle_Fuel_FractUseDelay;SkeletalMuscle-Fuel.FractUseDelay
skin_Fuel_FractUseDelay;Skin-Fuel.FractUseDelay
GITract_T;HeatCore.Temp(C)
HeatCore_Temp;HeatCore.Temp(C)
bone_T;HeatCore.Temp(C)
brain_T;HeatCore.Temp(C)
fat_T;HeatCore.Temp(C)
kidney_T;HeatCore.Temp(C)
leftHeart_T;HeatCore.Temp(C)
liver_T;HeatCore.Temp(C)
respiratoryMuscle_T;HeatCore.Temp(C)
rightHeart_T;HeatCore.Temp(C)
skeletalMuscle_T;HeatSkeletalMuscle.Temp(C)
skin_T;HeatSkin.Temp(C)
otherTissue_T;HeatCore.Temp(C)
AirSupplyInspiredAirPressure;AirSupply-InspiredAir.Pressure
Anesthesia_VascularConductance;Anesthesia.VascularConductance
AnesthesiaTidalVolume;Anesthesia.TidalVolume
BarometerPressure;Barometer.Pressure
BladderVoidFlow;BladerVoidFlow
CarotidSinusHeight;CarotidSinus.Level
DialyzerActivity_Cl_Flux;DialyzerActivity.Cl-Flux
DialyzerActivity_K_Flux;DialyzerActivity.K+Flux
DialyzerActivity_Na_Flux;DialyzerActivity.Na+Flux
DietGoalH2O_DegK;DietGoalH2O.DegK
DietIntakeElectrolytes_Cl;DietIntakeElectrolytes.Cl-_mEq/Min
DietIntakeElectrolytes_K;DietIntakeElectrolytes.K+_mEq/Min
DietIntakeElectrolytes_Na;DietIntakeElectrolytes.Na+_mEq/Min
DietIntakeElectrolytes_PO4;DietIntakeElectrolytes.PO4--mEq/Min
